t,x,y,z
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000021e-02,1.012501730765496211e+00,1.260004726192989422e+00,9.848906641746466573e-01
2.000000000000000042e-02,1.048747484252739337e+00,1.524096707568219022e+00,9.731175133902337793e-01
2.999999999999999889e-02,1.107218922458573562e+00,1.798299561443116534e+00,9.651706810879358001e-01
4.000000000000000083e-02,1.186885018822322335e+00,2.088526244334465432e+00,9.617602553912216745e-01
5.000000000000000278e-02,1.287373814606727063e+00,2.400410562820716187e+00,9.638783084145061686e-01
5.999999999999999778e-02,1.409275742149497468e+00,2.738938682408368130e+00,9.726841095289867622e-01
7.000000000000000666e-02,1.553512364154944869e+00,3.109386517560618568e+00,9.897657322730740725e-01
8.000000000000000167e-02,1.721238215417926209e+00,3.517469441584833767e+00,1.017196679208475452e+00
8.999999999999999667e-02,1.913840802823845166e+00,3.969342286632555616e+00,1.057535881920194543e+00
1.000000000000000056e-01,2.133162041207913528e+00,4.471211587057761783e+00,1.114279477471926239e+00
1.100000000000000006e-01,2.381936467662129076e+00,5.029356612596762588e+00,1.191105292435987728e+00
1.199999999999999956e-01,2.663247781283959004e+00,5.650577102228882431e+00,1.292516819172035092e+00
1.300000000000000044e-01,2.980433809839013293e+00,6.341893942838957798e+00,1.424869366670574511e+00
1.400000000000000133e-01,3.337086538518449608e+00,7.110549028628652124e+00,1.596370340834106116e+00
1.499999999999999944e-01,3.737052109938976407e+00,7.964005261116465562e+00,1.817079244477123545e+00
1.600000000000000033e-01,4.184413841298717074e+00,8.909868262120937743e+00,2.098923746919819866e+00
1.700000000000000122e-01,4.681328314650115452e+00,9.944933646878222788e+00,2.458515627238873513e+00
1.799999999999999933e-01,5.233929409024488777e+00,1.107994406400688980e+01,2.913592495742646449e+00
1.900000000000000022e-01,5.849745741967674384e+00,1.233020821533255074e+01,3.483628607109007014e+00
2.000000000000000111e-01,6.534307404392342811e+00,1.370066191902498076e+01,4.192511732927025392e+00
2.099999999999999922e-01,7.291145960578003127e+00,1.518586810959813604e+01,5.068543161696973165e+00
2.200000000000000011e-01,8.121794448171003822e+00,1.677001683791015907e+01,6.144437698830339301e+00
2.300000000000000100e-01,9.025787378184524812e+00,1.842692527116335199e+01,7.457323666649797289e+00
2.399999999999999911e-01,1.000066073499858987e+01,2.012003769290421218e+01,9.048742904389238007e+00
2.500000000000000000e-01,1.104195197636005688e+01,2.180242550302340021e+01,1.096465076819376527e+01
2.600000000000000089e-01,1.214310189355118297e+01,2.341696714879685715e+01,1.325479856433600467e+01
2.700000000000000178e-01,1.328803812277578622e+01,2.489100971745278557e+01,1.593538753433667665e+01
2.800000000000000266e-01,1.445161380679597052e+01,2.610159910373172920e+01,1.900731110450334072e+01
2.899999999999999800e-01,1.560230588702711962e+01,2.692165792458579787e+01,2.244617759499713827e+01
2.999999999999999889e-01,1.670002273100129742e+01,2.723479117130269955e+01,2.618301050001915087e+01
3.099999999999999978e-01,1.769610413236719637e+01,2.693528620950570840e+01,3.010424848781028118e+01
3.200000000000000067e-01,1.853437626976946007e+01,2.592474637236144375e+01,3.405387795655321526e+01
3.300000000000000155e-01,1.916446794547114152e+01,2.413194098626496142e+01,3.784415128217020197e+01
3.400000000000000244e-01,1.953067371326151758e+01,2.166440836984462237e+01,4.123474874863379114e+01
3.500000000000000333e-01,1.959358365541726243e+01,1.866536190010111440e+01,4.403260540243180543e+01
3.599999999999999867e-01,1.933652854707150581e+01,1.527950477617177505e+01,4.611130623686623409e+01
3.699999999999999956e-01,1.876557985621380098e+01,1.165303001933051164e+01,4.741108619205323293e+01
3.800000000000000044e-01,1.790641646189223124e+01,7.949043885296372736e+00,4.793500340676735050e+01
3.900000000000000133e-01,1.678602972168961571e+01,4.432841317944962611e+00,4.773470925559858102e+01
4.000000000000000222e-01,1.545546456335664942e+01,1.275248591356175965e+00,4.693182167135044125e+01
4.100000000000000311e-01,1.397190007003152346e+01,-1.427082428111656753e+00,4.567300970685349171e+01
4.199999999999999845e-01,1.239461388008157172e+01,-3.634945546743589162e+00,4.412347404084903246e+01
4.299999999999999933e-01,1.078180475862983911e+01,-5.364097120289283538e+00,4.244559173107686689e+01
4.400000000000000022e-01,9.179210144868372723e+00,-6.662696083145462467e+00,4.073522775734254253e+01
4.500000000000000111e-01,7.624047152803221650e+00,-7.589904705538367047e+00,3.906956917021641118e+01
4.600000000000000200e-01,6.144058758584369784e+00,-8.212449500199692665e+00,3.750239376185258777e+01
4.700000000000000289e-01,4.757517725438350276e+00,-8.603894085526086144e+00,3.606348160033621042e+01
4.799999999999999822e-01,3.475166819931582385e+00,-8.822617413643076389e+00,3.476258255172878364e+01
4.899999999999999911e-01,2.300095269487500982e+00,-8.912540125378285438e+00,3.359638502448693487e+01
5.000000000000000000e-01,1.231982948882747397e+00,-8.912661991279456686e+00,3.255754611432968915e+01
5.100000000000000089e-01,2.682411371197748196e-01,-8.854450238257047801e+00,3.163626369382576797e+01
5.200000000000000178e-01,-5.959874825731423797e-01,-8.761839549584241382e+00,3.082027641239359639e+01
5.300000000000000266e-01,-1.367844006085369379e+00,-8.651438846009314787e+00,3.009504111226059919e+01
5.400000000000000355e-01,-2.056020361579384392e+00,-8.536509839812394418e+00,2.944870974646041972e+01
5.500000000000000444e-01,-2.668079637283004679e+00,-8.425073682065823633e+00,2.887176311956494246e+01
5.600000000000000533e-01,-3.211321509932323792e+00,-8.322741309794599474e+00,2.835528658837256799e+01
5.700000000000000622e-01,-3.693087083635423262e+00,-8.234081766709484995e+00,2.789157425354095921e+01
5.799999999999999600e-01,-4.120758889872366382e+00,-8.162622203207021698e+00,2.747412895958702705e+01
5.899999999999999689e-01,-4.501760887495220409e+00,-8.110847876369515319e+00,2.709766229488691636e+01
5.999999999999999778e-01,-4.843539639070504776e+00,-8.080039102397423179e+00,2.675794679826510603e+01
6.099999999999999867e-01,-5.152150400716495326e+00,-8.069259098754210768e+00,2.645132165258979029e+01
6.199999999999999956e-01,-5.431523857971652269e+00,-8.077704785774720619e+00,2.617612424224057577e+01
6.300000000000000044e-01,-5.685406556601692252e+00,-8.104629549177941428e+00,2.593101017049612977e+01
6.400000000000000133e-01,-5.917519755248159541e+00,-8.149142448368827729e+00,2.571466017769038714e+01
6.500000000000000222e-01,-6.131559425428426024e+00,-8.210208216438287465e+00,2.552578014121255379e+01
6.600000000000000311e-01,-6.331196251535693875e+00,-8.286647260163190865e+00,2.536310107550711379e+01
6.700000000000000400e-01,-6.520075630838992886e+00,-8.377135660006366891e+00,2.522537913207381166e+01
6.800000000000000488e-01,-6.701575294312228870e+00,-8.480143320246162020e+00,2.511157085129662647e+01
6.900000000000000577e-01,-6.876928610780955964e+00,-8.593819269829896967e+00,2.502217371213644626e+01
7.000000000000000666e-01,-7.046989834192012303e+00,-8.716636429515258300e+00,2.495778647356522839e+01
7.099999999999999645e-01,-7.212660419936715250e+00,-8.846991693357228570e+00,2.491869063376136140e+01
7.199999999999999734e-01,-7.374772419491684161e+00,-8.983138819508495132e+00,2.490493063677544683e+01
7.299999999999999822e-01,-7.534088480418831502e+00,-9.123188430219441258e+00,2.491631387253026020e+01
7.399999999999999911e-01,-7.691301846365367290e+00,-9.265108011838151469e+00,2.495241067682077940e+01
7.500000000000000000e-01,-7.847036357063803536e+00,-9.406721914810407981e+00,2.501255433131417405e+01
7.600000000000000089e-01,-8.001844323962949090e+00,-9.545716761914363246e+00,2.509584222585979418e+01
7.700000000000000178e-01,-8.155694884821214075e+00,-9.680263769066563384e+00,2.520149794921767494e+01
7.800000000000000266e-01,-8.307712971872661001e+00,-9.808292229849053356e+00,2.532915837768722511e+01
7.900000000000000355e-01,-8.457003608967463393e+00,-9.927426472136744451e+00,2.547814037371955109e+01
8.000000000000000444e-01,-8.602662848294995612e+00,-1.003544328664310115e+01,2.564737183882480309e+01
8.100000000000000533e-01,-8.743777770383832859e+00,-1.013027192692014111e+01,2.583539171357217157e+01
8.200000000000000622e-01,-8.879426484101745842e+00,-1.020999410935843521e+01,2.604034997758990500e+01
8.300000000000000711e-01,-9.008678126655704332e+00,-1.027284401318711282e+01,2.626000764956528855e+01
8.399999999999999689e-01,-9.130592863591878938e+00,-1.031720828047384941e+01,2.649173678724464764e+01
8.499999999999999778e-01,-9.244221888795641107e+00,-1.034162601612488253e+01,2.673252048743337284e+01
8.599999999999999867e-01,-9.348607424491557794e+00,-1.034478878788499756e+01,2.697895288599588071e+01
8.699999999999999956e-01,-9.442887185420325125e+00,-1.032546034288304249e+01,2.722779411016527007e+01
8.800000000000000044e-01,-9.526050368067490837e+00,-1.028310522489219103e+01,2.747660341436210985e+01
8.900000000000000133e-01,-9.596580713773297688e+00,-1.021836327077771323e+01,2.772146039942192175e+01
9.000000000000000222e-01,-9.653213113344879304e+00,-1.013211724051381069e+01,2.795863229303378361e+01
9.100000000000000311e-01,-9.694970113889276320e+00,-1.002545175498169527e+01,2.818469382015643632e+01
9.200000000000000400e-01,-9.721161918813425729e+00,-9.899653295969589095e+00,2.839652720301832289e+01
9.300000000000000488e-01,-9.731386387824164430e+00,-9.756210206172720945e+00,2.859132216111756009e+01
9.400000000000000577e-01,-9.725529036928231008e+00,-9.596812689193326307e+00,2.876657591122195257e+01
9.500000000000000666e-01,-9.703763038432265731e+00,-9.423352809540654462e+00,2.892009316736898938e+01
9.599999999999999645e-01,-9.666549220942808773e+00,-9.237924492630959605e+00,2.904998614086584396e+01
9.699999999999999734e-01,-9.614636069366294890e+00,-9.042823524787502620e+00,2.915467454028937766e+01
9.799999999999999822e-01,-9.549059724909069402e+00,-8.840547553240558187e+00,2.923288557148612909e+01
9.899999999999999911e-01,-9.471134921380613747e+00,-8.633805671509247048e+00,2.928366243154775006e+01
1.000000000000000000e+00,-9.381313767605870879e+00,-8.426557595306668702e+00,2.930738523813544205e+01
1.010000000000000009e+00,-9.280391290378766200e+00,-8.222105896103236944e+00,2.930445282811502850e+01
1.020000000000000018e+00,-9.169906709391570487e+00,-8.022731433391708578e+00,2.927491594204102299e+01
1.030000000000000027e+00,-9.051397674051779418e+00,-7.830549482824521235e+00,2.921919466548293798e+01
1.040000000000000036e+00,-8.926400263482126007e+00,-7.647509736213782716e+00,2.913807842902529543e+01
1.050000000000000044e+00,-8.796448986520571722e+00,-7.475396301531283427e+00,2.903272600826763039e+01
1.060000000000000053e+00,-8.663076781720311814e+00,-7.315827702908487495e+00,2.890466552382447318e+01
1.070000000000000062e+00,-8.527815017349769988e+00,-7.170256880636536323e+00,2.875579444132537432e+01
1.080000000000000071e+00,-8.392193491392601956e+00,-7.039971191166247699e+00,2.858837957141487607e+01
1.090000000000000080e+00,-8.257740431547695437e+00,-6.926092407108116689e+00,2.840505706975254441e+01
1.100000000000000089e+00,-8.125982495229171931e+00,-6.829576717232315630e+00,2.820883243701293708e+01
1.110000000000000098e+00,-7.998444769566376955e+00,-6.751214726468691474e+00,2.800308051888562488e+01
1.120000000000000107e+00,-7.876644125271877073e+00,-6.691540122492852127e+00,2.779144838849667210e+01
1.130000000000000115e+00,-7.761763678590729576e+00,-6.648585454956871921e+00,2.757478995508580866e+01
